"year","month_name","month","country","max_emails_opened","running_total_opened_emails","no_of_customers_who_sent_atleast_one_email"
"2021","April","4","Suriname","79","466","1"
"2021","May","5","Suriname","435","901","1"
"2021","July","7","Suriname","500","1401","1"
"2021","August","8","Suriname","46","1447","3"
"2021","September","9","Suriname","500","1947","1"
"2021","November","11","Suriname","5","1952","1"
"2020","July","7","Svalbard & Jan Mayen Islands","77","77","2"
"2020","November","11","Svalbard & Jan Mayen Islands","17","94","1"
"2020","December","12","Svalbard & Jan Mayen Islands","5","99","1"
"2021","May","5","Svalbard & Jan Mayen Islands","296","395","1"
"2021","August","8","Svalbard & Jan Mayen Islands","15","410","1"
"2020","July","7","Swaziland","35","35","1"
"2020","August","8","Swaziland","18","53","1"
"2020","November","11","Swaziland","189","242","3"
"2020","December","12","Swaziland","24","266","2"
"2021","February","2","Swaziland","1","267","1"
"2021","March","3","Swaziland","212","479","2"
"2021","May","5","Swaziland","1","480","1"
"2021","September","9","Swaziland","28","508","1"
"2021","October","10","Swaziland","2","510","1"
"2020","November","11","Sweden","36","36","1"
"2021","March","3","Sweden","29","65","1"
"2021","April","4","Sweden","32","97","1"
"2021","May","5","Sweden","7","104","1"
"2021","September","9","Sweden","19","123","1"
"2020","July","7","Switzerland","1","1","1"
"2020","August","8","Switzerland","106","107","2"
"2020","September","9","Switzerland","14","121","1"
"2020","November","11","Switzerland","49","170","2"
"2020","December","12","Switzerland","91","261","1"
"2021","February","2","Switzerland","58","319","1"
"2021","March","3","Switzerland","134","453","3"
"2021","April","4","Switzerland","47","500","3"
"2021","May","5","Switzerland","13","513","4"
"2021","August","8","Switzerland","12","525","1"
"2021","September","9","Switzerland","15","540","1"
"2021","October","10","Switzerland","34","574","1"
"2021","November","11","Switzerland","318","892","1"
"2021","December","12","Switzerland","85","977","2"
"2020","August","8","Syrian Arab Republic","500","500","5"
"2020","November","11","Syrian Arab Republic","44","544","5"
"2020","December","12","Syrian Arab Republic","256","800","1"
"2021","January","1","Syrian Arab Republic","11","811","1"
"2021","February","2","Syrian Arab Republic","12","823","2"
"2021","March","3","Syrian Arab Republic","85","908","4"
"2021","April","4","Syrian Arab Republic","29","937","2"
"2021","May","5","Syrian Arab Republic","500","1437","3"
"2021","September","9","Syrian Arab Republic","49","1486","2"
"2021","October","10","Syrian Arab Republic","439","1925","2"
"2020","July","7","Taiwan","1","1","1"
"2020","August","8","Taiwan","80","81","1"
"2020","November","11","Taiwan","388","469","3"
"2020","December","12","Taiwan","94","563","2"
"2021","March","3","Taiwan","63","626","1"
"2021","May","5","Taiwan","20","646","1"
"2021","September","9","Taiwan","151","797","2"
"2021","October","10","Taiwan","2","799","1"
"2021","November","11","Taiwan","105","904","1"
"2020","July","7","Tajikistan","19","19","1"
"2020","September","9","Tajikistan","4","23","1"
"2020","November","11","Tajikistan","215","238","3"
"2020","December","12","Tajikistan","165","403","2"
"2021","January","1","Tajikistan","18","421","1"
"2021","March","3","Tajikistan","290","711","2"
"2021","April","4","Tajikistan","19","730","1"
"2021","May","5","Tajikistan","6","736","1"
"2021","September","9","Tajikistan","151","887","1"
"2021","November","11","Tajikistan","114","1001","2"
"2020","July","7","Tanzania","101","101","3"
"2020","November","11","Tanzania","94","195","1"
"2020","December","12","Tanzania","155","350","2"
"2021","January","1","Tanzania","17","367","1"
"2021","March","3","Tanzania","143","510","2"
"2021","May","5","Tanzania","221","731","4"
"2021","October","10","Tanzania","52","783","1"
"2021","December","12","Tanzania","11","794","1"
"2020","December","12","Thailand","500","500","1"
"2021","March","3","Thailand","268","768","1"
"2021","April","4","Thailand","120","888","1"
"2021","December","12","Thailand","6","894","1"
"2020","July","7","Timor-Leste","78","78","2"
"2020","August","8","Timor-Leste","18","96","1"
"2020","November","11","Timor-Leste","120","216","1"
"2021","February","2","Timor-Leste","143","359","2"
"2021","March","3","Timor-Leste","8","367","1"
"2021","April","4","Timor-Leste","2","369","1"
"2021","May","5","Timor-Leste","22","391","1"
"2021","August","8","Timor-Leste","17","408","1"
"2021","September","9","Timor-Leste","126","534","2"
"2021","October","10","Timor-Leste","174","708","1"
"2021","December","12","Timor-Leste","9","717","1"
"2020","July","7","Togo","63","63","1"
"2020","August","8","Togo","34","97","2"
"2020","September","9","Togo","185","282","1"
"2020","November","11","Togo","455","737","4"
"2020","December","12","Togo","69","806","2"
"2021","January","1","Togo","8","814","1"
"2021","February","2","Togo","7","821","1"
"2021","March","3","Togo","39","860","3"
"2021","April","4","Togo","176","1036","2"
"2021","September","9","Togo","236","1272","4"
"2021","October","10","Togo","154","1426","4"
"2021","November","11","Togo","7","1433","2"
"2021","December","12","Togo","59","1492","2"
"2020","July","7","Tokelau","186","186","1"
"2020","August","8","Tokelau","133","319","1"
"2020","November","11","Tokelau","450","769","2"
"2021","March","3","Tokelau","4","773","1"
"2021","April","4","Tokelau","115","888","2"
"2021","May","5","Tokelau","137","1025","2"
"2021","September","9","Tokelau","155","1180","2"
"2021","October","10","Tokelau","1","1181","1"
"2021","November","11","Tokelau","6","1187","1"
"2020","July","7","Tonga","33","33","1"
"2020","August","8","Tonga","7","40","1"
"2020","November","11","Tonga","14","54","1"
"2021","March","3","Tonga","93","147","3"
"2021","April","4","Tonga","201","348","1"
"2021","May","5","Tonga","3","351","1"
"2021","September","9","Tonga","118","469","2"
"2021","October","10","Tonga","48","517","2"
"2021","December","12","Tonga","1","518","1"
"2020","July","7","Trinidad and Tobago","47","47","2"
"2020","August","8","Trinidad and Tobago","51","98","1"
"2020","November","11","Trinidad and Tobago","211","309","2"
"2020","December","12","Trinidad and Tobago","80","389","2"
"2021","February","2","Trinidad and Tobago","15","404","1"
"2021","March","3","Trinidad and Tobago","20","424","1"
"2021","April","4","Trinidad and Tobago","66","490","1"
"2021","May","5","Trinidad and Tobago","5","495","1"
"2021","September","9","Trinidad and Tobago","24","519","1"
"2021","November","11","Trinidad and Tobago","15","534","1"
"2021","December","12","Trinidad and Tobago","20","554","1"
"2020","July","7","Tunisia","109","109","3"
"2020","September","9","Tunisia","44","153","1"
"2020","October","10","Tunisia","13","166","1"
"2020","November","11","Tunisia","183","349","3"
"2020","December","12","Tunisia","157","506","3"
"2021","February","2","Tunisia","91","597","2"
"2021","March","3","Tunisia","3","600","1"
"2021","April","4","Tunisia","150","750","2"
"2021","May","5","Tunisia","88","838","1"
"2021","September","9","Tunisia","4","842","1"
"2021","October","10","Tunisia","500","1342","3"
"2021","November","11","Tunisia","1","1343","1"
"2021","December","12","Tunisia","1","1344","1"
"2020","July","7","Turkey","13","13","1"
"2020","August","8","Turkey","7","20","1"
"2020","November","11","Turkey","31","51","3"
"2020","December","12","Turkey","123","174","1"
"2021","March","3","Turkey","103","277","1"
"2021","April","4","Turkey","25","302","1"
"2021","May","5","Turkey","37","339","2"
"2021","June","6","Turkey","20","359","1"
"2021","September","9","Turkey","1","360","1"
"2021","October","10","Turkey","2","362","1"
"2021","November","11","Turkey","59","421","1"
"2020","August","8","Turkmenistan","42","42","1"
"2020","November","11","Turkmenistan","21","63","1"
"2020","December","12","Turkmenistan","244","307","1"
"2021","February","2","Turkmenistan","33","340","2"
"2021","March","3","Turkmenistan","12","352","1"
"2021","April","4","Turkmenistan","1","353","1"
"2021","May","5","Turkmenistan","88","441","2"
"2021","October","10","Turkmenistan","73","514","2"
"2020","August","8","Turks and Caicos Islands","9","9","1"
"2020","November","11","Turks and Caicos Islands","82","91","3"
"2020","December","12","Turks and Caicos Islands","40","131","1"
"2021","January","1","Turks and Caicos Islands","200","331","2"
"2021","March","3","Turks and Caicos Islands","41","372","1"
"2021","May","5","Turks and Caicos Islands","57","429","2"
"2021","November","11","Turks and Caicos Islands","58","487","2"
"2020","July","7","Tuvalu","21","21","1"
"2020","August","8","Tuvalu","28","49","2"
"2020","November","11","Tuvalu","25","74","1"
"2020","December","12","Tuvalu","130","204","2"
"2021","January","1","Tuvalu","7","211","1"
"2021","February","2","Tuvalu","30","241","1"
"2021","March","3","Tuvalu","97","338","2"
"2021","April","4","Tuvalu","294","632","2"
"2021","May","5","Tuvalu","7","639","1"
"2021","June","6","Tuvalu","68","707","1"
"2021","September","9","Tuvalu","1","708","1"
"2021","October","10","Tuvalu","154","862","1"
"2021","November","11","Tuvalu","24","886","1"
"2021","December","12","Tuvalu","204","1090","1"
"2020","July","7","Uganda","64","64","1"
"2020","August","8","Uganda","408","472","1"
"2020","November","11","Uganda","24","496","1"
"2020","December","12","Uganda","343","839","2"
"2021","January","1","Uganda","7","846","2"
"2021","March","3","Uganda","94","940","3"
"2021","April","4","Uganda","244","1184","2"
"2021","August","8","Uganda","37","1221","1"
"2021","September","9","Uganda","282","1503","4"
"2021","October","10","Uganda","4","1507","1"
"2021","December","12","Uganda","418","1925","1"
"2020","July","7","Ukraine","88","88","3"
"2020","August","8","Ukraine","110","198","3"
"2020","September","9","Ukraine","117","315","1"
"2020","November","11","Ukraine","98","413","3"
"2020","December","12","Ukraine","2","415","2"
"2021","January","1","Ukraine","1","416","1"
"2021","March","3","Ukraine","18","434","1"
"2021","April","4","Ukraine","94","528","2"
"2021","May","5","Ukraine","172","700","2"
"2021","June","6","Ukraine","110","810","1"
"2021","July","7","Ukraine","12","822","1"
"2021","August","8","Ukraine","16","838","1"
"2021","September","9","Ukraine","23","861","2"
"2021","October","10","Ukraine","187","1048","2"
"2021","November","11","Ukraine","465","1513","2"
"2021","December","12","Ukraine","31","1544","2"
"2020","July","7","United Arab Emirates","11","11","1"
"2020","November","11","United Arab Emirates","500","511","1"
"2020","December","12","United Arab Emirates","228","739","1"
"2021","January","1","United Arab Emirates","37","776","1"
"2021","May","5","United Arab Emirates","30","806","1"
"2021","August","8","United Arab Emirates","1","807","1"
"2021","November","11","United Arab Emirates","9","816","1"
"2021","December","12","United Arab Emirates","19","835","1"
"2020","July","7","United Kingdom","16","16","2"
"2020","August","8","United Kingdom","18","34","1"
"2020","November","11","United Kingdom","310","344","5"
"2020","December","12","United Kingdom","21","365","1"
"2021","February","2","United Kingdom","500","865","2"
"2021","April","4","United Kingdom","70","935","1"
"2021","May","5","United Kingdom","82","1017","3"
"2021","September","9","United Kingdom","196","1213","1"
"2021","October","10","United Kingdom","34","1247","1"
"2021","December","12","United Kingdom","214","1461","2"
"2020","July","7","United States Minor Outlying Islands","11","11","2"
"2020","August","8","United States Minor Outlying Islands","300","311","1"
"2020","September","9","United States Minor Outlying Islands","4","315","1"
"2020","November","11","United States Minor Outlying Islands","7","322","2"
"2020","December","12","United States Minor Outlying Islands","16","338","3"
"2021","February","2","United States Minor Outlying Islands","1","339","1"
"2021","April","4","United States Minor Outlying Islands","411","750","1"
"2021","May","5","United States Minor Outlying Islands","125","875","5"
"2021","July","7","United States Minor Outlying Islands","60","935","2"
"2021","August","8","United States Minor Outlying Islands","61","996","3"
"2021","October","10","United States Minor Outlying Islands","14","1010","3"
"2021","November","11","United States Minor Outlying Islands","97","1107","2"
"2021","December","12","United States Minor Outlying Islands","41","1148","2"
"2022","January","1","United States Minor Outlying Islands","28","1176","1"
"2020","July","7","United States of America","46","46","2"
"2020","August","8","United States of America","95","141","2"
"2020","November","11","United States of America","500","641","4"
"2020","December","12","United States of America","274","915","1"
"2021","February","2","United States of America","33","948","1"
"2021","March","3","United States of America","83","1031","4"
"2021","April","4","United States of America","2","1033","1"
"2021","May","5","United States of America","67","1100","4"
"2021","August","8","United States of America","21","1121","1"
"2021","September","9","United States of America","144","1265","3"
"2021","October","10","United States of America","71","1336","3"
"2021","November","11","United States of America","72","1408","2"
"2021","December","12","United States of America","303","1711","1"
"2020","July","7","Uruguay","154","154","2"
"2020","November","11","Uruguay","82","236","1"
"2020","December","12","Uruguay","91","327","1"
"2021","April","4","Uruguay","500","827","1"
"2021","May","5","Uruguay","25","852","1"
"2021","August","8","Uruguay","28","880","1"
"2021","October","10","Uruguay","72","952","1"
"2020","November","11","Uzbekistan","62","62","2"
"2020","December","12","Uzbekistan","17","79","1"
"2021","April","4","Uzbekistan","8","87","1"
"2021","May","5","Uzbekistan","4","91","1"
"2021","September","9","Uzbekistan","74","165","1"
"2021","October","10","Uzbekistan","147","312","1"
"2021","December","12","Uzbekistan","99","411","1"
"2020","August","8","Vanuatu","4","4","1"
"2020","November","11","Vanuatu","13","17","1"
"2020","December","12","Vanuatu","17","34","1"
"2021","February","2","Vanuatu","14","48","1"
"2021","April","4","Vanuatu","25","73","1"
"2021","May","5","Vanuatu","500","573","1"
"2021","July","7","Vanuatu","6","579","1"
"2021","September","9","Vanuatu","336","915","1"
"2020","July","7","Venezuela","14","14","2"
"2020","August","8","Venezuela","163","177","1"
"2020","November","11","Venezuela","36","213","3"
"2020","December","12","Venezuela","4","217","1"
"2021","February","2","Venezuela","27","244","1"
"2021","March","3","Venezuela","211","455","1"
"2021","April","4","Venezuela","19","474","1"
"2021","May","5","Venezuela","13","487","1"
"2021","October","10","Venezuela","500","987","1"
"2021","November","11","Venezuela","23","1010","2"
"2021","December","12","Venezuela","84","1094","2"
"2020","August","8","Vietnam","120","120","1"
"2020","November","11","Vietnam","284","404","3"
"2020","December","12","Vietnam","17","421","1"
"2021","February","2","Vietnam","13","434","1"
"2021","March","3","Vietnam","17","451","1"
"2021","April","4","Vietnam","65","516","3"
"2021","May","5","Vietnam","46","562","4"
"2021","August","8","Vietnam","290","852","1"
"2021","September","9","Vietnam","10","862","1"
"2021","November","11","Vietnam","12","874","2"
"2021","December","12","Vietnam","308","1182","2"
"2020","July","7","Virgin Islands, British","92","92","2"
"2020","November","11","Virgin Islands, British","76","168","3"
"2020","December","12","Virgin Islands, British","151","319","1"
"2021","January","1","Virgin Islands, British","48","367","2"
"2021","March","3","Virgin Islands, British","49","416","1"
"2021","April","4","Virgin Islands, British","90","506","2"
"2021","May","5","Virgin Islands, British","322","828","3"
"2021","August","8","Virgin Islands, British","79","907","2"
"2021","October","10","Virgin Islands, British","12","919","1"
"2021","November","11","Virgin Islands, British","16","935","2"
"2021","December","12","Virgin Islands, British","9","944","2"
"2022","January","1","Virgin Islands, British","84","1028","1"
"2020","July","7","Virgin Islands, U.S.","25","25","1"
"2020","August","8","Virgin Islands, U.S.","29","54","1"
"2020","November","11","Virgin Islands, U.S.","500","554","1"
"2020","December","12","Virgin Islands, U.S.","333","887","1"
"2021","May","5","Virgin Islands, U.S.","34","921","1"
"2021","September","9","Virgin Islands, U.S.","18","939","1"
"2021","December","12","Virgin Islands, U.S.","6","945","1"
"2020","July","7","Wallis and Futuna","132","132","2"
"2020","August","8","Wallis and Futuna","10","142","1"
"2020","September","9","Wallis and Futuna","72","214","1"
"2020","October","10","Wallis and Futuna","27","241","1"
"2020","November","11","Wallis and Futuna","161","402","5"
"2020","December","12","Wallis and Futuna","443","845","5"
"2021","January","1","Wallis and Futuna","31","876","1"
"2021","March","3","Wallis and Futuna","396","1272","2"
"2021","April","4","Wallis and Futuna","54","1326","2"
"2021","May","5","Wallis and Futuna","2","1328","1"
"2021","September","9","Wallis and Futuna","30","1358","1"
"2021","October","10","Wallis and Futuna","122","1480","1"
"2021","November","11","Wallis and Futuna","26","1506","1"
"2021","December","12","Wallis and Futuna","41","1547","2"
"2020","July","7","Western Sahara","19","19","1"
"2021","March","3","Western Sahara","17","36","1"
"2021","April","4","Western Sahara","331","367","2"
"2021","May","5","Western Sahara","17","384","1"
"2021","August","8","Western Sahara","131","515","2"
"2021","October","10","Western Sahara","136","651","2"
"2020","July","7","Yemen","14","14","2"
"2020","November","11","Yemen","110","124","2"
"2021","February","2","Yemen","85","209","1"
"2021","March","3","Yemen","124","333","2"
"2021","May","5","Yemen","19","352","2"
"2021","October","10","Yemen","43","395","1"
"2021","December","12","Yemen","29","424","2"
"2020","July","7","Zambia","153","153","2"
"2020","November","11","Zambia","1","154","1"
"2020","December","12","Zambia","62","216","2"
"2021","February","2","Zambia","48","264","1"
"2021","March","3","Zambia","56","320","2"
"2021","April","4","Zambia","155","475","3"
"2021","May","5","Zambia","244","719","2"
"2021","June","6","Zambia","5","724","1"
"2021","August","8","Zambia","171","895","3"
"2021","October","10","Zambia","10","905","1"
"2021","December","12","Zambia","37","942","1"
"2020","October","10","Zimbabwe","51","51","1"
"2020","November","11","Zimbabwe","291","342","5"
"2020","December","12","Zimbabwe","61","403","2"
"2021","January","1","Zimbabwe","31","434","2"
"2021","March","3","Zimbabwe","466","900","3"
"2021","April","4","Zimbabwe","12","912","1"
"2021","May","5","Zimbabwe","233","1145","2"
"2021","June","6","Zimbabwe","20","1165","1"
"2021","August","8","Zimbabwe","2","1167","1"
"2021","September","9","Zimbabwe","366","1533","3"
"2021","October","10","Zimbabwe","177","1710","2"
"2021","November","11","Zimbabwe","248","1958","1"
"2021","December","12","Zimbabwe","138","2096","4"
